Ͱ   greek capital letter heta
ͱ   greek small letter heta
Ͳ   greek capital letter archaic sampi
ͳ   greek small letter archaic sampi
ʹ   greek numeral sign
͵   greek lower numeral sign
Ͷ   greek capital letter pamphylian digamma
ͷ   greek small letter pamphylian digamma
ͺ   greek ypogegrammeni
ͻ   greek small reversed lunate sigma symbol
ͼ   greek small dotted lunate sigma symbol
ͽ   greek small reversed dotted lunate sigma symbol
;   greek question mark
Ϳ   greek capital letter yot
΄   greek tonos
΅   greek dialytika tonos
Ά   greek capital letter alpha with tonos
·   greek ano teleia
Έ   greek capital letter epsilon with tonos
Ή   greek capital letter eta with tonos
Ί   greek capital letter iota with tonos
Ό   greek capital letter omicron with tonos
Ύ   greek capital letter upsilon with tonos
Ώ   greek capital letter omega with tonos
ΐ   greek small letter iota with dialytika and tonos
Α   greek capital letter alpha
Β   greek capital letter beta
Γ   greek capital letter gamma
Δ   greek capital letter delta
Ε   greek capital letter epsilon
Ζ   greek capital letter zeta
Η   greek capital letter eta
Θ   greek capital letter theta
Ι   greek capital letter iota
Κ   greek capital letter kappa
Λ   greek capital letter lamda
Μ   greek capital letter mu
Ν   greek capital letter nu
Ξ   greek capital letter xi
Ο   greek capital letter omicron
Π   greek capital letter pi
Ρ   greek capital letter rho
Σ   greek capital letter sigma
Τ   greek capital letter tau
Υ   greek capital letter upsilon
Φ   greek capital letter phi
Χ   greek capital letter chi
Ψ   greek capital letter psi
Ω   greek capital letter omega
Ϊ   greek capital letter iota with dialytika
Ϋ   greek capital letter upsilon with dialytika
ά   greek small letter alpha with tonos
έ   greek small letter epsilon with tonos
ή   greek small letter eta with tonos
ί   greek small letter iota with tonos
ΰ   greek small letter upsilon with dialytika and tonos
α   greek small letter alpha
β   greek small letter beta
γ   greek small letter gamma
δ   greek small letter delta
ε   greek small letter epsilon
ζ   greek small letter zeta
η   greek small letter eta
θ   greek small letter theta
ι   greek small letter iota
κ   greek small letter kappa
λ   greek small letter lamda
μ   greek small letter mu
ν   greek small letter nu
ξ   greek small letter xi
ο   greek small letter omicron
π   greek small letter pi
ρ   greek small letter rho
ς   greek small letter final sigma
σ   greek small letter sigma
τ   greek small letter tau
υ   greek small letter upsilon
φ   greek small letter phi
χ   greek small letter chi
ψ   greek small letter psi
ω   greek small letter omega
ϊ   greek small letter iota with dialytika
ϋ   greek small letter upsilon with dialytika
ό   greek small letter omicron with tonos
ύ   greek small letter upsilon with tonos
ώ   greek small letter omega with tonos
Ϗ   greek capital kai symbol
ϐ   greek beta symbol
ϑ   greek theta symbol
ϒ   greek upsilon with hook symbol
ϓ   greek upsilon with acute and hook symbol
ϔ   greek upsilon with diaeresis and hook symbol
ϕ   greek phi symbol
ϖ   greek pi symbol
ϗ   greek kai symbol
Ϙ   greek letter archaic koppa
ϙ   greek small letter archaic koppa
Ϛ   greek letter stigma
ϛ   greek small letter stigma
Ϝ   greek letter digamma
ϝ   greek small letter digamma
Ϟ   greek letter koppa
ϟ   greek small letter koppa
Ϡ   greek letter sampi
ϡ   greek small letter sampi
Ϣ   coptic capital letter shei
ϣ   coptic small letter shei
Ϥ   coptic capital letter fei
ϥ   coptic small letter fei
Ϧ   coptic capital letter khei
ϧ   coptic small letter khei
Ϩ   coptic capital letter hori
ϩ   coptic small letter hori
Ϫ   coptic capital letter gangia
ϫ   coptic small letter gangia
Ϭ   coptic capital letter shima
ϭ   coptic small letter shima
Ϯ   coptic capital letter dei
ϯ   coptic small letter dei
ϰ   greek kappa symbol
ϱ   greek rho symbol
ϲ   greek lunate sigma symbol
ϳ   greek letter yot
ϴ   greek capital theta symbol
ϵ   greek lunate epsilon symbol
϶   greek reversed lunate epsilon symbol
Ϸ   greek capital letter sho
ϸ   greek small letter sho
Ϲ   greek capital lunate sigma symbol
Ϻ   greek capital letter san
ϻ   greek small letter san
ϼ   greek rho with stroke symbol
Ͻ   greek capital reversed lunate sigma symbol
Ͽ   greek capital dotted lunate sigma symbol
Ͼ   greek capital reversed dotted lunate sigma symbol
