+   plus sign
<   less-than sign
=   equals sign
>   greater-than sign
|   vertical line
~   tilde
¬   not sign
±   plus-minus sign
×   multiplication sign
÷   division sign
϶   greek reversed lunate epsilon symbol
؆   arabic-indic cube root
؇   arabic-indic fourth root
؈   arabic ray
⁄   fraction slash
⁒   commercial minus sign
⁺   superscript plus sign
⁻   superscript minus
⁼   superscript equals sign
₊   subscript plus sign
₋   subscript minus
₌   subscript equals sign
℘   script capital p
⅀   double-struck n-ary summation
⅁   turned sans-serif capital g
⅂   turned sans-serif capital l
⅃   reversed sans-serif capital l
⅄   turned sans-serif capital y
⅋   turned ampersand
←   leftwards arrow
↑   upwards arrow
→   rightwards arrow
↓   downwards arrow
↔   left right arrow
↚   leftwards arrow with stroke
↛   rightwards arrow with stroke
↠   rightwards two headed arrow
↣   rightwards arrow with tail
↦   rightwards arrow from bar
↮   left right arrow with stroke
⇎   left right double arrow with stroke
⇏   rightwards double arrow with stroke
⇒   rightwards double arrow
⇔   left right double arrow
⇴   right arrow with small circle
⇵   downwards arrow leftwards of upwards arrow
⇶   three rightwards arrows
⇷   leftwards arrow with vertical stroke
⇸   rightwards arrow with vertical stroke
⇹   left right arrow with vertical stroke
⇺   leftwards arrow with double vertical stroke
⇻   rightwards arrow with double vertical stroke
⇼   left right arrow with double vertical stroke
⇽   leftwards open-headed arrow
⇾   rightwards open-headed arrow
⇿   left right open-headed arrow
∀   for all
∁   complement
∂   partial differential
∃   there exists
∄   there does not exist
∅   empty set
∆   increment
∇   nabla
∈   element of
∉   not an element of
∊   small element of
∋   contains as member
∌   does not contain as member
∍   small contains as member
∎   end of proof
∏   n-ary product
∐   n-ary coproduct
∑   n-ary summation
−   minus sign
∓   minus-or-plus sign
∔   dot plus
∕   division slash
∖   set minus
∗   asterisk operator
∘   ring operator
∙   bullet operator
√   square root
∛   cube root
∜   fourth root
∝   proportional to
∞   infinity
∟   right angle
∠   angle
∡   measured angle
∢   spherical angle
∣   divides
∤   does not divide
∥   parallel to
∦   not parallel to
∧   logical and
∨   logical or
∩   intersection
∪   union
∫   integral
∬   double integral
∭   triple integral
∮   contour integral
∯   surface integral
∰   volume integral
∱   clockwise integral
∲   clockwise contour integral
∳   anticlockwise contour integral
∴   therefore
∵   because
∶   ratio
∷   proportion
∸   dot minus
∹   excess
∺   geometric proportion
∻   homothetic
∼   tilde operator
∽   reversed tilde
∾   inverted lazy s
∿   sine wave
≀   wreath product
≁   not tilde
≂   minus tilde
≃   asymptotically equal to
≄   not asymptotically equal to
≅   approximately equal to
≆   approximately but not actually equal to
≇   neither approximately nor actually equal to
≈   almost equal to
≉   not almost equal to
≊   almost equal or equal to
≋   triple tilde
≌   all equal to
≍   equivalent to
≎   geometrically equivalent to
≏   difference between
≐   approaches the limit
≑   geometrically equal to
≒   approximately equal to or the image of
≓   image of or approximately equal to
≔   colon equals
≕   equals colon
≖   ring in equal to
≗   ring equal to
≘   corresponds to
≙   estimates
≚   equiangular to
≛   star equals
≜   delta equal to
≝   equal to by definition
≞   measured by
≟   questioned equal to
≠   not equal to
≡   identical to
≢   not identical to
≣   strictly equivalent to
≤   less-than or equal to
≥   greater-than or equal to
≦   less-than over equal to
≧   greater-than over equal to
≨   less-than but not equal to
≩   greater-than but not equal to
≪   much less-than
≫   much greater-than
≬   between
≭   not equivalent to
≮   not less-than
≯   not greater-than
≰   neither less-than nor equal to
≱   neither greater-than nor equal to
≲   less-than or equivalent to
≳   greater-than or equivalent to
≴   neither less-than nor equivalent to
≵   neither greater-than nor equivalent to
≶   less-than or greater-than
≷   greater-than or less-than
≸   neither less-than nor greater-than
≹   neither greater-than nor less-than
≺   precedes
≻   succeeds
≼   precedes or equal to
≽   succeeds or equal to
≾   precedes or equivalent to
≿   succeeds or equivalent to
⊀   does not precede
⊁   does not succeed
⊂   subset of
⊃   superset of
⊄   not a subset of
⊅   not a superset of
⊆   subset of or equal to
⊇   superset of or equal to
⊈   neither a subset of nor equal to
⊉   neither a superset of nor equal to
⊊   subset of with not equal to
⊋   superset of with not equal to
⊌   multiset
⊍   multiset multiplication
⊎   multiset union
⊏   square image of
⊐   square original of
⊑   square image of or equal to
⊒   square original of or equal to
⊓   square cap
⊔   square cup
